sentence1 ; sentence2 ; human-assigned-similarity
There was a heap of rubble left by the builders outside my house this morning.;Sometimes in a large crowd accidents may happen, which can cause deadly injuries. ; 0.09
Water freezes at a certain temperature, which is zero degrees Celsius. ;The temperature of boiling water is 100 C and the temperature of ice is 0 C. ; 3.08
We got home safely in the end, although it was a long journey. ;Though it took many hours travel, we finally reached our house safely. ; 3.06
A man called Dave gave his fiancée a large diamond ring for their engagement. ;The man presented a diamond to the woman and asked her to marry him. ; 3.22
I used to run quite a lot, in fact once I ran for North Tyneside.;I used to climb lots at school as we had a new climbing wall put in the gym. ; 0.74
I love to laugh as it makes me happy as well as those around me. ;I thought we bargained that it would only cost me a pound. ; 0.08
Because I am the eldest one I should be more responsible.;Just because of my age, people shouldn't think I'm a responsible adult, but they do? ; 2.23
I need to dash into the kitchen because I think my chip pan is on fire. ;In the event of a chip pan fire follow the instructions on the safety note. ; 1.7
Peter was a very large youth, whose size intimidated most people, much to his delight. ;Now I wouldn't say he was fat, but I'd certainly say he was one of the larger boys. ; 1.96
I'm going to buy a grey jumper today, in half an hour.;That's a nice grey top, where did you get it from? ; 1.25
We got soaked in the rain today, but now we are nice and dry. ;I was absolutely soaking wet last night, I drove my bike through the worst weather. ; 1.68
Global warming is what everyone is worrying about today. ;The problem of global warming is a concern to every country in the world at the moment. ; 3.14
He was harshly punished for setting the fire alarms off.;He delayed his response, in order to create a tense atmosphere. ; 0.22
Midday is 12 o'clock in the middle of the day. ;Noon is 12 o'clock in the middle of the day. ; 3.96
That's not a very good car, on the other hand mine is great.;This is a terrible noise level for a new car. ; 1.05
There was a terrible accident, a pileup, on the M16 today. ;It was a terrible accident, no one believed it was possible. ; 2.33
After hours of getting lost we eventually arrived at the hotel. ;After walking against the strong wind for hours he finally returned home safely. ; 1.09
The first thing I do in a morning is make myself a cup of coffee.;The first thing I do in the morning is have a cup of coffee. ; 3.85
Someone spilt a drink accidentally on my shirt, so I changed it.;It appears to have shrunk, it wasn't that size before I washed it. ; 0.48
I'm worried most seriously about the presentation, not the essay.;It is mostly very difficult to gain full marks in today's exam. ; 0.77
It is mostly very difficult to gain full marks in today's exam.;The exam was really difficult, I've got no idea if I'm going to pass. ; 2.54
Meet me on the hill behind the church in half an hour. ;Join me on the hill at the back of the church in thirty minutes time. ; 3.93
If you don't console with a friend, there is a chance you may hurt their feelings.;One of the qualities of a good friend is the ability to console. ; 3.01
We tried to bargain with him but it made no difference, he still didn't change his mind.;I tried bargaining with him, but he just wouldn't listen. ; 3.43
It gives me great pleasure to announce the winner of this year's beauty pageant. ;It’s a real pleasure to tell you who has won our annual beauty parade. ; 3.88
They said they were hoping to go to America on holiday.;I like to cover myself up in lots of layers, I don't like the cold. ; 0.16
Will I have to drive far to get to the nearest petrol station? ;Is it much farther for me to drive to the next gas station? ; 3.84
I think I know her from somewhere because she has a familiar face. ;You have a very familiar face, where do I know you from? ; 3.36
I am sorry but I can't go out as I have a heap of work to do.;I’ve a heap of things to finish so I can’t go out I’m afraid. ; 3.6
The responsible man felt very guilty when he crashed into the back of someone's car. ;A slow driver can be annoying even though they are driving safely. ; 0.88
Get that wet dog off my brand new white sofa. ;Make that wet hound get off my white couch – I only just bought it. ; 3.59
He fought in the war in Iraq before being killed in a car crash. ;The prejudice I suffered whilst on holiday in Iraq was quite alarming. ; 0.55
The cat was hungry so he went into the back garden to find lunch.;The hen walked about in the yard eating tasty grain. ; 1.2
My bedroom wall is lemon coloured but my mother says it is yellow. ;Roses can be different colours, it has to be said red is the best though. ; 0.68
Would you like to drink this wine with your meal?;Will you drink a glass of wine while you eat? ; 3.56
Roses can be different colours, it has to be said red is the best though.;Roses come in many varieties and colours, but yellow is my favourite. ; 2.83
Flies can also carry a lot of disease and cause maggots.;I dry my hair after I wash it or I will get ill. ; 0.12
Could you climb up the tree and save my cat from jumping please? ;Can you get up that tree and rescue my cat otherwise it might jump? ; 3.83
The pleasure that I get from studying, is that I learn new things.;I have a doubt about this exam, we never got to study for it. ; 0.74
The perpetrators of war crimes are rotten to the core. ;There are many global issues that everybody should be aware of, such as the threat of terrorism. ; 0.95
The damp was mostly in the very corner of the room. ;The young lady was somewhat partially burnt from the sun. ; 0.11
We often ran to school because we were always late. ;I knew I was late for my class so I ran all the way to school. ; 3.1
I hope you're taking this seriously, if not you can get out of here. ;The difficult course meant that only the strong would survive. ; 0.5
The shores or shore of a sea, lake or wide river is the land along the edge of it. ;An autograph is the signature of someone famous which is specially written for a fan to keep. ; 0.11
 I bought a new guitar today, do you like it?;The weapon choice reflects the personality of the carrier. ; 0.16
I am so hungry I could eat a whole horse plus dessert.;I could have eaten another meal, I'm still starving. ; 3.06
